ProjectName,BranchName,Severity
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-3055_94c2a31f,Critical
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-3077_17654199,Critical
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-3143_ddd2c3bc,Critical
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-3150_72fd6bec,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-3218_1b35d263,Blocker
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-3229_891584fb,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-3242_15e83709,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-334_9d8cc45d,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-3383_97f16db4,Minor
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-3385_a3267d3e,Critical
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-3408_81d25bc2,Minor
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-3424_27d4ee21,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-3474_cfb832a1,Minor
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-3475_7651b777,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-3634_9339ecf8,Minor
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-366_db4a291f,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-3718_73ce9cfb,Blocker
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-3746_47c64d9a,Blocker
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-3897_699b8bf0,Minor
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-3945_36225565,Minor
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-4029_5ca779a0,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-4098_a2c2d38a,Blocker
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-4113_27300d81,Critical
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-412_5594b2e0,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-412_be2fdba7,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-4138_4d23d784,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-4138_50db442b,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-4138_eb0f9b41,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-414_116d5928,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-414_ebf22df0,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-633_8dad5e0f,Minor
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-776_dc9f23d9,Minor
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-795_9453bcfa,Minor
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-821_a450ac2f,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-843_65390f8c,Minor
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-844_692efde2,Critical
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-907_4aeaeb2a,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-3276_205420e2,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-3281_f7dd2fff,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-3314_4badd9c5,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-3388_0919a0f6,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-3394_18e1a142,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-3395_8433e6db,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-3428_320545cd,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-3433_e76d23b0,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-3448_b345dd82,Critical
camel,remotes/origin/bugs-dot-jar_CAMEL-3498_b4606700,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-3531_41e4b5b9,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-3535_b56d2962,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-3545_050c542e,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-3617_02626724,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-3690_2a3f3392,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-3709_4c37e773,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-3727_ff2713d1,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-3757_c1b2f2f8,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-3760_5225e6e3,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-3789_9319e139,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-3791_52106681,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-3847_de9399f3,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-3878_b9094cb5,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-4011_cbffff59,Trivial
camel,remotes/origin/bugs-dot-jar_CAMEL-4211_4efddb3f,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-4354_96e40c3c,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-4370_7345fefc,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-4388_f39bc60d,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-4467_79168a23,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-4474_06a8489a,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-4482_e38494f1,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-4486_f98ac676,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-4509_8e3450f4,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-4513_9e05f77f,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-4536_df9f4a6a,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-4542_c408c3ed,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-4682_1e54865c,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-5137_afa1d132,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-5140_8898d491,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-5154_a8586a69,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-5187_8cadc344,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-5215_033eb6fe,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-5224_2db5570f,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-5261_55c2e2d8,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-5357_4cf7e80e,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-5432_93935780,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-5437_da05f5aa,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-5515_b3bb8670,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-5570_a57830ed,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-5571_0e87b84f,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-5644_15d0fd9b,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-5681_78c73502,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-5683_0c3c7d1b,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-5699_6d63a502,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-5704_708e756d,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-5707_3f70d612,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-5720_4a05eccf,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-5796_de6dd425,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-5826_a04674f2,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-5844_e775071b,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-6447_020c451a,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-6557_2c5a42db,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-6593_7f8a295a,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-6604_4209fabb,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-6604_55751402,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-6607_2d7051ed,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-6610_ed7e7c9f,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-6667_1fc7bd7a,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-6687_617eab1c,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-6723_b92d6237,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-6743_745a85ab,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-6779_f412d744,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-6810_6b210169,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-6889_cd40b712,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-6918_5761250c,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-6936_4954d573,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-6948_f744afd9,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-6964_6b2ffb30,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-6987_37e0e6bb,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-7016_4ed448c7,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-7018_3244c1e5,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-7055_15e1077d,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-7100_00a9b02b,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-7125_6641f182,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-7130_7c9326f4,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-7130_cc192f87,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-7146_b6981cfd,Trivial
camel,remotes/origin/bugs-dot-jar_CAMEL-7160_095fa2b4,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-7163_5f726d0b,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-7167_1e33fcbc,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-7209_5f78c646,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-7213_336663c9,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-7239_ae419224,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-7241_18c23fa8,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-7271_a5a2f750,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-7275_44cad623,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-7304_fa165d6b,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-7344_91228815,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-7359_9cb09d14,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-7359_e6fbbf04,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-7364_7bbb88ba,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-7418_cabee0e9,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-7429_43956f93,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-7448_35bde2b2,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-7456_02da984a,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-7459_57ba1bde,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-7478_69b00a31,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-7513_85ced066,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-7562_689147e9,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-7568_b3377b16,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-7586_1f92fa42,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-7611_e30f1c53,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-7622_faa20255,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-7736_7ad36e3d,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-7767_eab06182,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-7795_19b2aa31,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-7883_d57f402b,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-7973_799b45df,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-7990_d581c4a4,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-8053_cac72b14,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-8081_2e985f9b,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-8106_39ccf5d6,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-8125_36e7b668,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-8137_53b4e90c,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-8146_17475d80,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-8227_54d7fc59,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-8584_dd0f74c0,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-8592_57f72cd9,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-8624_597883fa,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-8626_d063f471,Critical
camel,remotes/origin/bugs-dot-jar_CAMEL-8954_7b1253db,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-8964_ea8ee025,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-9032_108d94f7,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-9124_9da2c05a,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-9143_08077733,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-9217_e7ac45b6,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-9238_169b981e,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-9243_1957a828,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-9269_62b2042b,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-9340_1cab39f6,Trivial
camel,remotes/origin/bugs-dot-jar_CAMEL-9444_baece126,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-9480_0ead2cac,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-9641_9a6e6d8a,Major
camel,remotes/origin/bugs-dot-jar_CAMEL-9666_da035952,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-9672_84922699,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-9673_7944093f,Minor
camel,remotes/origin/bugs-dot-jar_CAMEL-9700_4d03e9de,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-1005_91d280b7,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-1045_a4ffd393,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-1045_c979a6f0,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-1051_bda25b40,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-1058_4ebd967c,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-1065_996c0c16,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-1067_aff82362,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-1068_b12610d3,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-1070_8e5867ed,Critical
commons-math,remotes/origin/bugs-dot-jar_MATH-1080_b285f170,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-1088_63d88c74,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-1089_e91d0f05,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-1093_7cfbc0da,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-1096_19c1c3bb,Blocker
commons-math,remotes/origin/bugs-dot-jar_MATH-1096_faf99727,Blocker
commons-math,remotes/origin/bugs-dot-jar_MATH-1103_a6f96306,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-1106_e2dc384d,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-1115_2a6c6409,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-1117_f4c926ea,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-1121_5a6ccd58,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-1123_a197ba85,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-1127_ba62c59d,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-1129_d4f978dd,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-1135_a7363a2a,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-1136_cc4ab51e,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-1141_2f2a2dda,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-1148_4080feff,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-1165_596ccd59,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-1203_4aa4c6d3,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-1203_b148046a,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-1204_a56d4998,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-1208_ce2badf0,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-1211_a06a1584,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-1226_c44bfe00,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-1230_96eb80ef,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-1232_8f35fcb8,Trivial
commons-math,remotes/origin/bugs-dot-jar_MATH-1241_471e6b07,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-1252_09fe956a,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-1256_41f29780,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-1257_03178c8b,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-1261_4c4b3e2e,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-1269_a94ff90a,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-1272_26e878ab,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-1277_fb007815,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-1283_9e0c5ad4,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-1297_56434517,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-1300_1d635088,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-286_dbdff075,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-288_38983e82,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-290_b01fcc31,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-293_59a0da9c,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-294_2c8a114f,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-305_ef9b639a,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-309_0596e314,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-318_83f18d52,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-320_b2f3f6db,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-320_c06cc933,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-326_ce185345,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-327_262fe4c0,Critical
commons-math,remotes/origin/bugs-dot-jar_MATH-329_6dd3724b,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-338_8dd22390,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-343_f6dd42b4,Critical
commons-math,remotes/origin/bugs-dot-jar_MATH-344_a0b4b4b7,Critical
commons-math,remotes/origin/bugs-dot-jar_MATH-349_4cc9a49d,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-358_061f5017,Critical
commons-math,remotes/origin/bugs-dot-jar_MATH-367_3a15d8ce,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-369_f4a4464b,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-370_495f04bc,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-371_bb005b56,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-373_bfe4623c,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-377_c640932d,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-393_d4b02f6a,Trivial
commons-math,remotes/origin/bugs-dot-jar_MATH-395_962315ba,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-405_784e4f69,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-413_51aa6e6c,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-414_5fe9b36c,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-434_133cbc2d,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-471_a4b1948b,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-482_6d6649ef,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-519_26a61077,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-546_b6bf8f41,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-554_fbbb96eb,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-555_328513f3,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-559_fc409e88,Trivial
commons-math,remotes/origin/bugs-dot-jar_MATH-618_2123f780,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-631_334c01e6,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-631_c0b49542,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-631_ebc61de9,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-639_8b418000,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-640_98556fed,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-657_32b0f733,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-657_97b440fc,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-679_5e638976,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-691_118f0cc0,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-695_7980a242,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-699_b2e24119,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-704_3f645310,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-705_645d642b,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-713_f656676e,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-716_faa77857,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-718_3a08bfa6,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-722_95d15eff,Minor
commons-math,remotes/origin/bugs-dot-jar_MATH-723_1352a70f,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-724_9c8bb934,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-727_69273dca,Major
commons-math,remotes/origin/bugs-dot-jar_MATH-727_d2777388,Major
